name,label,val_init,err_init,type,active,pdf,group,group_label,ttbar,t,zjets_alt,wjets,diboson,ww,fakes,ee,emu,mumu,etau,mutau,e4j,mu4j
trigger_e_4,e trigger ($50 \leq p_{T} < 60$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,0,0,0,0,1,0
trigger_e_5,e trigger ($p_{T} \geq 60$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,0,0,0,0,1,0
escale_e,$e$ ES,0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,1,1,0,0,0,1,0
trigger_e_tag,$e$ trigger (tag),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,1,1,0,1,0,0,0
trigger_e_probe,$e$ trigger (probe),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,1,1,0,1,0,0,0
eff_iso_mu,"$\epsilon_{\mu,iso}$",0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,1,0,1
eff_id_mu,"$\epsilon_{\mu,id}$",0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,1,0,0
eff_mu_0,$\epsilon_{\mu}$ ($10 \leq p_{T} < 15$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_1,$\epsilon_{\mu}$ ($15 \leq p_{T} < 20$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_2,$\epsilon_{\mu}$ ($20 \leq p_{T} < 25$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_3,$\epsilon_{\mu}$ ($25 \leq p_{T} < 30$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_4,$\epsilon_{\mu}$ ($30 \leq p_{T} < 40$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_5,$\epsilon_{\mu}$ ($40 \leq p_{T} < 50$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
eff_mu_6,$\epsilon_{\mu}$ ($50 \leq p_{T} < 65$),0,1,shape,1,gaussian,reco_lepton,$\ell$ reco,1,1,1,1,0,1,0,0,1,1,0,0,0,1
